Sr_No.,Lawyer_name,Practice_area,Firm_name,Firm_size,Target_audience,Designation,Years_of_Experience,Total_cases,Successful_cases,Affiliation,Client_reviews,Nominal_fees_per_hearing,Bar_Council_ID
790,Siddhi Shetty,Labor Lawyer,Anhad Law,291,Workers,Non-Equity Partner,11,294,258,Supreme Court of India,Empathetic and understanding. Made me feel valued. | Proactive and strategic in handling my legal issues. | Proactive and strategic. Achieved a favorable outcome.,1096594,NB/RJ/2013/54887
791,Ajay Reddy,Municipal Lawyer,Zeus Law Associates,15,Municipal Agencies,Counsel,10,156,135,Bar Council of India,Great support throughout the legal process. | Excellent service. Made a stressful situation much easier to handle. | Highly knowledgeable and provided excellent advice throughout.,353407,NB/JK/2014/14381
792,Kiran Chaudhary,Tax Lawyer,Stratage Law,326,Corporations,Government Counsel,10,152,106,High Court,Experienced and skilled. Made me feel confident throughout. | Exceptional negotiation skills. Secured a great deal for me. | Dedicated and diligent. Always kept me informed.,101866,NB/DL/2014/87266
793,Simran Sethi,Business Lawyer,Indialaw LLP,100,Corporations,Advocate,2,15,15,Bar Council of India,Responsive and proactive. Addressed all my concerns promptly. | Professional demeanor and exceptional legal expertise. | Proficient in handling legal matters with great care.,184968,NB/WB/2022/67941
794,Vikram Pillai,Banking and Finance Lawyer,Jones Day,451,Investors,Junior Associate / Associate,0,26,22,District Court,Mismanaged client expectations and case strategy. | Disorganized and failed to meet case requirements. | Unprofessional conduct and lack of expertise.,32289,NB/DL/2024/65095
795,Anjali Patel,Elder Lawyer,Juris Corp,3,Senior Citizens,Independent Legal Consultant,10,131,124,High Court,Trustworthy and results-oriented. I felt well-represented. | Exceptional service with a strong focus on client needs. | Consistently high-quality service and reliable support.,406414,NB/OR/2014/89441
796,Sameer Rao,Animal Lawyer,Stratage Law,361,Animal Rights Organizations,Senior Advocate,12,334,333,Bar Council of India,Professional approach and excellent outcome in my case. | Very satisfied with the outcome and the service provided. | Very responsive and provided excellent legal counsel.,952207,NB/KL/2012/59882
797,Tanvi Joshi,Intellectual Property Lawyer,Gagrats,416,Creators,Advocate,1,15,14,Bar Council of India,Top-notch service. Went above and beyond to ensure a positive result. | Supportive and empathetic. Always had my best interests in mind. | Great support throughout the legal process.,199341,NB/G/2023/38477
798,Rajesh Mishra,Education Lawyer,Duane Morris & Selvam LLP,355,Parents,Principal Associate,8,102,88,Bar Council of India,Inadequate preparation and subpar legal advice. | Felt my case was not handled with enough urgency. | Provided vague advice and seemed disinterested.,213422,NB/JK/2016/99746
799,Dinesh Kapoor,Immigration Lawyer,Gravitas Legal,165,Families,Independent Legal Consultant,9,158,111,Bar Council of India,Poorly handled legal negotiations and settlements. | Unprofessional behavior and missed important deadlines. | Misguided and failed to achieve the desired outcome.,426129,NB/WB/2015/15926
800,Swati Mishra,Maritime Lawyer,Cyril Amarchand Mangaldas,479,Port Authorities,Independent Legal Consultant,9,132,92,Supreme Court of India,Supportive and empathetic. Always had my best interests in mind. | Thorough and meticulous in every aspect of the case. | Great support throughout the legal process.,362120,NB/TN/2015/64027
801,Neha Gupta,Civil Rights Lawyer,Lahoti Advocates,149,Individuals,Advocate,1,20,17,District Court,Mismanaged client expectations and case strategy. | Poor handling of legal documents and paperwork. | Failed to deliver on commitments and promises.,103923,NB/KL/2023/46229
802,Suresh Ghosh,Military Lawyer,Juris Corp,340,Veterans,Managing Partner,25,461,344,Supreme Court of India,Supportive and empathetic. Always had my best interests in mind. | Highly knowledgeable and provided excellent advice throughout. | Responsive and proactive. Addressed all my concerns promptly.,3350622,NB/UP/1999/30885
803,Shivani Saxena,Bankruptcy Lawyer,Sidley Austin LLP,305,Individuals,Junior Associate / Associate,1,23,18,District Court,Thorough and meticulous in every aspect of the case. | Great strategic thinking and problem-solving skills. | Exceptional service with a strong focus on client needs.,41014,NB/JH/2023/63297
804,Aakash Kaul,Sports Lawyer,King & Spalding LLP,68,Athletes,Counsel,9,159,115,District Court,Efficient handling of my case with a favorable result. | Clear communication and prompt responses. Highly recommend. | Dedicated to their clients and achieved favorable outcomes.,264057,NB/TS/2015/68264
805,Pooja Joshi,Civil Lawyer,AZB & PARTNERS,179,Individuals,Managing Associate,9,188,155,Bar Council of India,Reliable and trustworthy. Delivered on their promises. | Efficient and effective. Made a complex process straightforward. | Proactive and strategic. Achieved a favorable outcome.,308482,NB/OR/2015/22265
806,Ravi Bhat,Business Lawyer,White & Case LLP,190,Small Businesses,Principal Associate,7,110,102,High Court,Great support throughout the legal process. | Thorough preparation and outstanding legal advice. | Exceptional at handling complex legal issues.,244272,NB/OR/2017/69198
807,Rohit Ghosh,Environmental Lawyer,Amicus,125,Corporations,Managing Associate,12,242,202,District Court,Professional demeanor and exceptional legal expertise. | Thorough preparation and outstanding legal advice. | Knowledgeable and detail-oriented. Provided great support.,303874,NB/AP/2012/24960
808,Amit Mehta,International Lawyer,RPV Legal,367,Corporations,Legal Advisor,8,137,134,District Court,Caring and attentive to my needs. Very pleased with the outcome. | Reliable and trustworthy. Delivered on their promises. | Exceptional at handling complex legal issues.,353456,NB/G/2016/18522
809,Amit Sharma,Municipal Lawyer,De Penning & De Penning,371,Real Estate Developers,Solicitor,5,107,81,Supreme Court of India,Not as knowledgeable as expected. Did not meet my expectations. | Limited understanding of my case and its complexities. | Mismanaged my case and provided inadequate support.,468864,NB/JH/2019/82251
810,Kavita Menon,Sports Lawyer,Lahoti Advocates,139,Agencies,Legal Advisor,8,121,115,Supreme Court of India,Trustworthy and results-oriented. I felt well-represented. | Empathetic and understanding. Made me feel valued. | Proficient in handling legal matters with great care.,381959,NB/UK/2016/78770
811,Vikas Sharma,Municipal Lawyer,Fidus Law,21,City Councils,Counsel,10,242,238,High Court,Caring and attentive to my needs. Very pleased with the outcome. | Experienced and skilled. Made me feel confident throughout. | Exceptional service with a strong focus on client needs.,288094,NB/TN/2014/22746
812,Manoj Pillai,Family Lawyer,AP & Partners,66,Families,Counsel,10,245,174,District Court,Committed and dedicated. Helped me navigate the legal system effectively. | Thorough and meticulous in every aspect of the case. | Trustworthy and results-oriented. I felt well-represented.,342347,NB/JH/2014/70005
813,Sameer Pillai,Maritime Lawyer,Obhan & Associates,59,Seamen,Advocate,1,19,15,Supreme Court of India,Unresponsive and did not address all my concerns. | Did not provide adequate representation and support. | Disappointing experience with slow progress and poor outcomes.,58454,NB/HP/2023/10595
814,Rohit Thakur,Bankruptcy Lawyer,Latham & Watkins LLP,172,Creditors,Principal Associate,8,86,60,Bar Council of India,Committed and dedicated. Helped me navigate the legal system effectively. | Very professional and handled my case with great expertise. | Trustworthy and results-oriented. I felt well-represented.,172565,NB/RJ/2016/37925
815,Abhishek Kaul,Civil Rights Lawyer,Kirkland & Ellis LLP,308,Individuals,Junior Associate / Associate,1,32,28,District Court,Professional approach and excellent outcome in my case. | Proactive and strategic in handling my legal issues. | Highly knowledgeable and provided excellent advice throughout.,76621,NB/OR/2023/56079
816,Siddharth Reddy,Criminal Lawyer,Gopakumar Nair Associates,423,Crime Victims,Legal Aid Lawyer,1,19,13,District Court,Clear explanations and transparent throughout the process. | Professional demeanor and exceptional legal expertise. | Outstanding client service and thorough legal representation.,52939,NB/OR/2023/54352
817,Naveen Nair,Maritime Lawyer,Just Law,45,Shipping Companies,Counsel,10,230,202,High Court,Exceptional service with a strong focus on client needs. | Clear explanations and transparent throughout the process. | Committed and dedicated. Helped me navigate the legal system effectively.,248962,NB/HP/2014/85325
818,Meera Bhat,Municipal Lawyer,Krishna & Saurastri Associates LLP,471,Real Estate Developers,Counsel,9,223,204,Bar Council of India,Supportive and empathetic. Always had my best interests in mind. | Efficient and effective. Made a complex process straightforward. | Excellent service. Made a stressful situation much easier to handle.,248093,NB/MAH/2015/93950
819,Asha Shetty,Criminal Lawyer,Hammurabi & Solomon Partners,22,Government Agencies,Legal Aid Lawyer,1,14,14,Bar Council of India,Did not provide adequate representation and support. | Mismanaged client expectations and case strategy. | Provided vague advice and seemed disinterested.,30999,NB/RJ/2023/91050
820,Renu Bhat,Entertainment Lawyer,Latham & Watkins LLP,120,Media Companies,Independent Legal Consultant,9,110,95,Supreme Court of India,Reliable and trustworthy. Delivered on their promises. | Very professional and handled my case with great expertise. | Top-notch service. Went above and beyond to ensure a positive result.,242642,NB/UK/2015/47683
821,Vikram Kulkarni,Banking and Finance Lawyer,Law Offices of Panag & Babu,238,Banks,Government Counsel,5,138,111,High Court,Mismanaged client expectations and case strategy. | Subpar service and lack of attention to my case. | Unresponsive to critical client inquiries and concerns.,74047,NB/UK/2019/71826
822,Amit Bhat,Civil Rights Lawyer,Chadha & Co,264,Civil Rights Organizations,Solicitor,6,107,79,High Court,Provided substandard legal service and advice. | Provided incorrect information and poor advice. | Unresponsive to critical client inquiries and concerns.,425387,NB/KL/2018/95832
823,Meera Bhagat,Banking and Finance Lawyer,Mahendra Bhavsar & Co,325,Investors,Non-Equity Partner,10,267,238,Supreme Court of India,Unreliable and ineffective in managing legal proceedings. | Limited understanding of my case and its complexities. | Disorganized and failed to meet case requirements.,697211,NB/MP/2014/69726
824,Ritika Agarwal,Intellectual Property Lawyer,Cyril Amarchand Mangaldas,189,Companies,Managing Associate,8,163,125,Supreme Court of India,Disappointing experience with slow progress and poor outcomes. | Provided substandard legal service and advice. | Inadequate response to urgent legal matters.,303164,NB/RJ/2016/76662
825,Anupam Basu,Constitutional Lawyer,Law Offices of Panag & Babu,381,Government Bodies,Managing Partner,18,466,456,District Court,Caring and attentive to my needs. Very pleased with the outcome. | Clear explanations and transparent throughout the process. | Very professional and handled my case with great expertise.,2731766,NB/BCT/2006/42197
826,Nikhil Ghosh,Entertainment Lawyer,TMT Law Practice,28,Artists,Managing Associate,8,217,158,Bar Council of India,Excellent communication and outstanding client care. | Great support throughout the legal process. | Exceptional service with a strong focus on client needs.,269616,NB/MN/2016/42671
827,Arjun Kapoor,Administrative Lawyer,Juris Prime Law Services,261,Organizations,Junior Associate / Associate,2,32,22,Supreme Court of India,Great advocate. Got me the best possible result in my case. | Provided excellent counsel and achieved excellent results. | Thorough preparation and outstanding legal advice.,76019,NB/RJ/2022/40427
828,Tanvi Ghosh,Constitutional Lawyer,Remfry & Sagar,425,Individuals,In-House Counsel,6,196,175,Bar Council of India,Top-notch service. Went above and beyond to ensure a positive result. | Provided excellent counsel and achieved excellent results. | Reliable and trustworthy. Delivered on their promises.,342294,NB/TN/2018/46305
829,Asha Kulkarni,Civil Rights Lawyer,Dhwaj & Associates,227,Individuals,Counsel,9,230,219,Supreme Court of India,"Excellent service. Made a stressful situation much easier to handle. | Professional, reliable, and easy to work with. Satisfied client. | Clear communication and prompt responses. Highly recommend.",313441,NB/CG/2015/95549
830,Rekha Basu,Elder Lawyer,Obhan & Associates,489,Nursing Homes,Principal Associate,5,85,71,Bar Council of India,Exceptional legal skills and always available to answer questions. | Very responsive and provided excellent legal counsel. | Supportive and empathetic. Always had my best interests in mind.,167904,NB/G/2019/69759
831,Pooja Bhagat,Labor Lawyer,S.S. Rana & Co.,284,Labor Unions,Of Counsel,12,300,248,District Court,Reliable and trustworthy. Delivered on their promises. | Dedicated and diligent. Always kept me informed. | Exceptional service with a strong focus on client needs.,287206,NB/HP/2012/94996
832,Vishal Lal,Military Lawyer,Royzz & Co. Attorneys at Law,472,Armed Forces,Government Counsel,9,152,106,Supreme Court of India,Provided substandard legal service and advice. | Disappointing experience with slow progress and poor outcomes. | Overpromised and underdelivered. Disappointed with the service.,105099,NB/CG/2015/36293
833,Sameer Kapoor,Sports Lawyer,InventIP Legal Services LLP,89,Sports Organizations,Non-Equity Partner,11,228,162,District Court,Top-notch service. Went above and beyond to ensure a positive result. | Efficient handling of my case with a favorable result. | Exceptional legal skills and always available to answer questions.,1385814,NB/KL/2013/16140
834,Ravi Kapoor,Banking and Finance Lawyer,Universal Legal Advocates,423,Investors,Senior Advocate,14,263,210,District Court,Empathetic and understanding. Made me feel valued. | Top-notch service. Went above and beyond to ensure a positive result. | Committed and dedicated. Helped me navigate the legal system effectively.,375542,NB/OR/2010/82797
835,Meera Menon,Military Lawyer,Mayer Brown,184,Government Agencies,In-House Counsel,9,109,81,Supreme Court of India,Unresponsive and did not address all my concerns. | Overpromised and underdelivered. Disappointed with the service. | Did not represent my interests effectively in court.,393257,NB/UK/2015/10814
836,Tanvi Singh,Elder Lawyer,Sidley Austin LLP,143,Families,Advocate,3,11,9,Bar Council of India,Clear explanations and transparent throughout the process. | Very responsive and provided excellent legal counsel. | Efficient handling of my case with a favorable result.,93048,NB/JK/2021/16404
837,Vikram Yadav,Education Lawyer,R. K. Dewan & Co.,250,Educational Institutions,Managing Associate,11,235,231,District Court,Very knowledgeable in their field and easy to communicate with. | Efficient and effective. Made a complex process straightforward. | Excellent communication and outstanding client care.,271728,NB/BR/2013/12143
838,Manoj Reddy,Personal Injury Lawyer,Sidley Austin LLP,103,Workers,Counsel,12,214,214,District Court,Very professional and handled my case with great expertise. | Great strategic thinking and problem-solving skills. | Proficient in handling legal matters with great care.,228695,NB/TR/2012/41748
839,Vikram Sharma,Administrative Lawyer,Khaitan & Co.,349,Organizations,Of Counsel,11,272,196,District Court,Failed to deliver on commitments and promises. | Did not demonstrate adequate legal knowledge. | Did not provide adequate support or guidance.,305959,NB/TN/2013/45067
840,Rohit Joshi,Civil Lawyer,Dhir & Dhir Associates,333,Contract Disputants,Independent Legal Consultant,10,184,175,Supreme Court of India,Trustworthy and results-oriented. I felt well-represented. | Skilled and effective. Managed my case with precision and care. | Highly recommended for their expertise and professionalism.,263787,NB/MN/2014/49805
841,Kunal Kadam,Civil Lawyer,Krishnamurthy and Co,258,Property Owners,Senior Advocate,10,297,258,Supreme Court of India,Inadequate preparation and subpar legal advice. | Disorganized and failed to meet case requirements. | Provided vague advice and seemed disinterested.,245460,NB/RJ/2014/60299
842,Asha Nair,Municipal Lawyer,Agarwal Law Associates,30,Local Governments,Independent Legal Consultant,8,168,138,District Court,Experienced and skilled. Made me feel confident throughout. | Proactive and strategic in handling my legal issues. | Exceptional legal skills and always available to answer questions.,370864,NB/BR/2016/27518
843,Suman Bhat,Civil Lawyer,S&R Associates,327,Property Owners,Managing Partner,16,499,370,District Court,Experienced and skilled. Made me feel confident throughout. | Supportive and empathetic. Always had my best interests in mind. | Efficient and effective. Made a complex process straightforward.,4059039,NB/BCT/2008/80612
844,Sanjay Khan,Family Lawyer,Royzz & Co. Attorneys at Law,493,Divorcing Couples,Non-Equity Partner,12,225,159,Bar Council of India,Empathetic and understanding. Made me feel valued. | Proactive and strategic in handling my legal issues. | Outstanding client service and thorough legal representation.,1429367,NB/TR/2012/39900
845,Sunita Singh,Civil Rights Lawyer,Morrison Foerster,147,Nonprofits,Senior Advocate,13,322,297,District Court,Professional approach and excellent outcome in my case. | Very satisfied with the outcome and the service provided. | Highly recommended for their expertise and professionalism.,484191,NB/DL/2011/12746
846,Anirudh Dubey,Municipal Lawyer,LEGALLANDS LLP,54,Real Estate Developers,Senior Advocate,11,290,211,High Court,Very satisfied with the outcome and the service provided. | Dedicated and diligent. Always kept me informed. | Clear communication and prompt responses. Highly recommend.,895201,NB/KL/2013/80273
847,Siddhi Singh,Constitutional Lawyer,ASP ADVOCATES,94,Civil Rights Groups,Senior Associate,4,41,40,Bar Council of India,Proactive and strategic in handling my legal issues. | Proactive and strategic. Achieved a favorable outcome. | Great support throughout the legal process.,142042,NB/DL/2020/91393
848,Ravi Bhagat,Military Lawyer,Kochhar & Co.,286,Veterans,Advocate,2,15,10,Bar Council of India,Exceptional at handling complex legal issues. | Confident and competent. I felt secure with their representation. | Committed and dedicated. Helped me navigate the legal system effectively.,124967,NB/TR/2022/84750
849,Sanjay Nair,Immigration Lawyer,"Chiramel & Co, Solicitors and Advocates",439,Families,Of Counsel,12,283,243,Supreme Court of India,Not very responsive. I had to chase for updates. | Provided incorrect information and poor advice. | Poor representation and lack of thorough case handling.,495625,NB/RJ/2012/68583
850,Ishaan Lal,Administrative Lawyer,Desai & Diwanji,3,Organizations,Solicitor,5,144,135,Supreme Court of India,Highly recommended for their expertise and professionalism. | Clear communication and prompt responses. Highly recommend. | Exceptional negotiation skills. Secured a great deal for me.,605061,NB/AP/2019/32434
851,Sanjay Lal,Employment Lawyer,Cyril Amarchand Mangaldas,296,Labor Unions,Solicitor,10,144,122,Supreme Court of India,Did not address all legal issues in a timely manner. | Did not demonstrate adequate legal knowledge. | Unresponsive and did not address all my concerns.,298785,NB/MP/2014/64448
852,Anupam Verma,Tax Lawyer,Legacy Law Offices,362,Individuals,Solicitor,8,160,144,High Court,Knowledgeable and detail-oriented. Provided great support. | Exceptional service with a strong focus on client needs. | Provided excellent counsel and achieved excellent results.,392289,NB/AP/2016/68085
853,Manoj Kadam,Securities Lawyer,Indialaw LLP,92,Investors,Managing Associate,11,210,209,District Court,Exceptional service with a strong focus on client needs. | Great attention to detail and thorough in handling my case. | Thorough and meticulous in every aspect of the case.,283312,NB/AP/2013/26954
854,Priya Saxena,Banking and Finance Lawyer,InventIP Legal Services LLP,280,Financial Institutions,Junior Associate / Associate,0,35,32,District Court,Poor handling of legal documents and paperwork. | Poor representation and lack of thorough case handling. | Failure to communicate important updates and changes.,63411,NB/RJ/2024/77829
855,Neha Shetty,Animal Lawyer,Ashwathh Legal,175,Pet Owners,Managing Associate,11,180,166,High Court,Great strategic thinking and problem-solving skills. | Proactive and strategic in handling my legal issues. | Thorough preparation and outstanding legal advice.,283086,NB/AP/2013/29858
856,Vikram Kulkarni,Health Lawyer,Shardul Amarchand Mangaldas & Co,124,Insurance Companies,Managing Partner,19,566,565,High Court,Very knowledgeable in their field and easy to communicate with. | Very responsive and provided excellent legal counsel. | Clear communication and prompt responses. Highly recommend.,3217571,NB/BR/2005/89986
857,Meera Menon,Civil Lawyer,Juris Legal,65,Contract Disputants,Junior Associate / Associate,2,35,26,Supreme Court of India,Professional demeanor and exceptional legal expertise. | Great attention to detail and thorough in handling my case. | Provided excellent counsel and achieved excellent results.,62535,NB/G/2022/72745
858,Deepak Bhagat,Health Lawyer,Latham & Watkins LLP,495,Insurance Companies,Legal Advisor,6,185,140,Bar Council of India,Exceptional legal skills and always available to answer questions. | Great advocate. Got me the best possible result in my case. | Excellent communication and outstanding client care.,364789,NB/JH/2018/39365
859,Rekha Basu,Civil Lawyer,Khaitan & Co.,245,Individuals,Principal Associate,5,102,81,Supreme Court of India,Proactive and strategic in handling my legal issues. | Consistently high-quality service and reliable support. | Professional and reliable. Made the legal process smooth and manageable.,249914,NB/TR/2019/39457
860,Siddharth Shetty,Administrative Lawyer,Talwar Thakore & Associates,376,Government Agencies,Solicitor,6,158,155,Bar Council of India,Misguided and failed to achieve the desired outcome. | Provided incorrect information and poor advice. | Inadequate response to urgent legal matters.,580810,NB/TS/2018/83318
861,Pooja Basu,Bankruptcy Lawyer,DSK Legal,80,Creditors,Junior Associate / Associate,0,38,27,Supreme Court of India,Dedicated and diligent. Always kept me informed. | Experienced and skilled. Made me feel confident throughout. | Empathetic and understanding. Made me feel valued.,73283,NB/KAR/2024/52395
862,Rekha Das,Immigration Lawyer,Stratage Law,418,Families,Government Counsel,10,177,160,District Court,Dedicated and diligent. Always kept me informed. | Exceptional legal skills and always available to answer questions. | Provided excellent counsel and achieved excellent results.,92372,NB/DL/2014/31039
863,Rekha Bhagat,Elder Lawyer,Agarwal Law Associates,193,Families,In-House Counsel,5,167,133,High Court,Exceptional negotiation skills. Secured a great deal for me. | Professional demeanor and exceptional legal expertise. | Very satisfied with the outcome and the service provided.,269837,NB/G/2019/39684
864,Siddhi Verma,Criminal Lawyer,Veritas Legal,447,Accused Individuals,Legal Aid Lawyer,1,18,16,Supreme Court of India,Exceptional negotiation skills. Secured a great deal for me. | Proactive and strategic in handling my legal issues. | Very knowledgeable in their field and easy to communicate with.,38222,NB/JK/2023/94188
865,Anupam Nair,Education Lawyer,Beruar & Beruar,144,Teachers,Junior Associate / Associate,1,32,28,District Court,Exceptional at handling complex legal issues. | Consistently high-quality service and reliable support. | Experienced and skilled. Made me feel confident throughout.,55384,NB/RJ/2023/29681
866,Deepak Kaul,Administrative Lawyer,S&R Associates,357,Government Agencies,Managing Partner,23,488,440,High Court,Inadequate preparation and subpar legal advice. | Unprofessional behavior and missed important deadlines. | Unprofessional approach and lack of legal acumen.,3087284,NB/JK/2001/23718
867,Dinesh Nair,Family Lawyer,Ganesan Manuraj LLP,343,Parents,Legal Aid Lawyer,1,17,16,Bar Council of India,Supportive and empathetic. Always had my best interests in mind. | Top-notch service. Went above and beyond to ensure a positive result. | Provided excellent counsel and achieved excellent results.,41019,NB/MN/2023/43606
868,Naveen Singh,Civil Rights Lawyer,TLC Legal,87,Nonprofits,Managing Partner,25,472,376,District Court,Confident and competent. I felt secure with their representation. | Proactive and strategic in handling my legal issues. | Great advocate. Got me the best possible result in my case.,4928046,NB/KL/1999/91793
869,Harish Reddy,Sports Lawyer,King & Spalding LLP,100,Sports Organizations,Legal Aid Lawyer,1,13,11,Supreme Court of India,Mismanaged client expectations and case strategy. | Did not represent my interests effectively in court. | Failure to provide effective legal representation.,33983,NB/RJ/2023/94984
870,Anirudh Yadav,Banking and Finance Lawyer,S&A Law Offices,122,Financial Institutions,Independent Legal Consultant,6,175,122,Supreme Court of India,Lacked communication and updates during my case. | Disappointing experience with slow progress and poor outcomes. | Lack of professionalism and failed to keep me informed.,265912,NB/MP/2018/50516
871,Kunal Rajput,Bankruptcy Lawyer,ASP ADVOCATES,403,Creditors,Government Counsel,9,108,77,Supreme Court of India,Unresponsive and did not address all my concerns. | Unprofessional approach and lack of legal acumen. | Subpar service and lack of attention to my case.,123576,NB/WB/2015/17685
872,Kiran Menon,Environmental Lawyer,Duane Morris & Selvam LLP,34,Conservation Organizations,Managing Associate,10,231,173,Supreme Court of India,Great advocate. Got me the best possible result in my case. | Responsive and proactive. Addressed all my concerns promptly. | Exceptional service with a strong focus on client needs.,208357,NB/HP/2014/57197
873,Anita Patel,Municipal Lawyer,Juris Arena,105,Local Governments,Government Counsel,9,170,121,High Court,"Caring and attentive to my needs. Very pleased with the outcome. | Professional, reliable, and easy to work with. Satisfied client. | Supportive and empathetic. Always had my best interests in mind.",113555,NB/CG/2015/41113
874,Ravi Reddy,Criminal Lawyer,Sim And San,150,Accused Individuals,Solicitor,10,137,99,High Court,Exceptional service with a strong focus on client needs. | Thorough preparation and outstanding legal advice. | Dedicated and diligent. Always kept me informed.,382506,NB/UP/2014/76984
875,Renu Agarwal,Intellectual Property Lawyer,Veritas Legal,34,Creators,Of Counsel,12,273,200,Supreme Court of India,Provided excellent counsel and achieved excellent results. | Thorough preparation and outstanding legal advice. | Experienced and skilled. Made me feel confident throughout.,359661,NB/MN/2012/52948
876,Aakash Ghosh,Corporate Lawyer,RNClegal,151,Corporations,Senior Associate,4,49,44,High Court,"Provided substandard legal service and advice. | Felt like just another case, not a priority. | Unprofessional conduct and lack of expertise.",83391,NB/G/2020/85706
877,Renu Dubey,Administrative Lawyer,De Penning & De Penning,43,Regulatory Bodies,Junior Associate / Associate,2,34,31,District Court,Made me feel undervalued and ignored my inputs. | Did not demonstrate adequate legal knowledge. | Ineffective communication and lack of detailed information.,60640,NB/RJ/2022/99595
878,Swati Singh,Real Estate Lawyer,Mansukhlal Hiralal & Company,206,Property Sellers,Managing Associate,12,240,214,Bar Council of India,Thorough and meticulous in every aspect of the case. | Efficient handling of my case with a favorable result. | Thorough preparation and outstanding legal advice.,310080,NB/MG/2012/28122
879,Anjali Bhagat,Tax Lawyer,Desai & Diwanji,4,Businesses,Managing Partner,23,435,325,High Court,Great support throughout the legal process. | Professional and reliable. Made the legal process smooth and manageable. | Caring and attentive to my needs. Very pleased with the outcome.,4368002,NB/TR/2001/44787
880,Ishaan Bhat,Administrative Lawyer,Juris Corp,384,Government Agencies,Government Counsel,9,134,98,Supreme Court of India,"Professional, reliable, and easy to work with. Satisfied client. | Efficient and effective. Made a complex process straightforward. | Trustworthy and results-oriented. I felt well-represented.",121019,NB/TR/2015/46072
881,Manoj Gupta,Constitutional Lawyer,"Chiramel & Co, Solicitors and Advocates",496,Individuals,Principal Associate,5,97,73,Bar Council of India,Proficient in handling legal matters with great care. | Effective and result-oriented. Highly satisfied with the service. | Great strategic thinking and problem-solving skills.,185442,NB/HP/2019/34955
882,Vikram Chopra,Labor Lawyer,LEGALLANDS LLP,278,Trade Organizations,Legal Advisor,8,135,127,Bar Council of India,Highly knowledgeable and provided excellent advice throughout. | Excellent communication and outstanding client care. | Experienced and skilled. Made me feel confident throughout.,509161,NB/OR/2016/16270
883,Jyoti Patel,Municipal Lawyer,RNA Technology and IP Attorneys,317,Municipal Agencies,Senior Advocate,11,325,285,High Court,Clear explanations and transparent throughout the process. | Clear communication and prompt responses. Highly recommend. | Very knowledgeable in their field and easy to communicate with.,327419,NB/BCT/2013/17058
884,Aakash Bhagat,Military Lawyer,Desai & Diwanji,442,Government Agencies,Senior Advocate,13,304,282,District Court,Did not provide adequate support or guidance. | Poor handling of legal documents and paperwork. | Unacceptable level of service and attention.,560192,NB/OR/2011/10767
885,Kavita Agarwal,Bankruptcy Lawyer,Dhwaj & Associates,158,Individuals,Independent Legal Consultant,5,179,142,Bar Council of India,Provided incorrect information and poor advice. | Unacceptable delays and lack of proper follow-up. | Disappointing experience with slow progress and poor outcomes.,443312,NB/TS/2019/86527
886,Anand Chopra,Sports Lawyer,Mahendra Bhavsar & Co,198,Agencies,In-House Counsel,5,154,125,Supreme Court of India,Professional demeanor and exceptional legal expertise. | Responsive and proactive. Addressed all my concerns promptly. | Proactive and strategic in handling my legal issues.,487795,NB/CG/2019/86903
887,Suresh Menon,Personal Injury Lawyer,RNA Technology and IP Attorneys,92,Injured Individuals,Senior Advocate,11,261,213,District Court,Efficient handling of my case with a favorable result. | Exceptional legal skills and always available to answer questions. | Great strategic thinking and problem-solving skills.,582472,NB/G/2013/39853
888,Anupam Kadam,Entertainment Lawyer,DSK Legal,43,Musicians,In-House Counsel,9,177,163,District Court,Very responsive and provided excellent legal counsel. | Committed and dedicated. Helped me navigate the legal system effectively. | Reliable and trustworthy. Delivered on their promises.,361842,NB/BCT/2015/14552
889,Neha Agarwal,Family Lawyer,Pioneer Legal,215,Parents,Of Counsel,12,347,345,District Court,Unresponsive and did not address all my concerns. | Felt my case was not handled with enough urgency. | Failed to provide clear explanations and advice.,343709,NB/RJ/2012/81946
890,Suresh Ghosh,Administrative Lawyer,Sagus Legal,9,Government Agencies,Government Counsel,10,170,134,Supreme Court of India,Confident and competent. I felt secure with their representation. | Consistently high-quality service and reliable support. | Highly knowledgeable and provided excellent advice throughout.,97651,NB/MN/2014/15628
891,Dinesh Gupta,Banking and Finance Lawyer,Amicus,492,Investors,Legal Advisor,5,130,103,High Court,Effective and result-oriented. Highly satisfied with the service. | Highly recommended for their expertise and professionalism. | Experienced and skilled. Made me feel confident throughout.,208136,NB/KL/2019/36913
892,Pratik Lal,Maritime Lawyer,Titus & Co,350,Port Authorities,Senior Advocate,14,259,259,District Court,Proficient in handling legal matters with great care. | Top-notch service. Went above and beyond to ensure a positive result. | Thorough preparation and outstanding legal advice.,793792,NB/CG/2010/53239
893,Sneha Mehta,Business Lawyer,Mahendra Bhavsar & Co,315,Entrepreneurs,Principal Associate,7,97,69,Supreme Court of India,Very professional and handled my case with great expertise. | Professional demeanor and exceptional legal expertise. | Consistently high-quality service and reliable support.,214463,NB/G/2017/20486
894,Ajay Bhat,Immigration Lawyer,Juris Legal,288,Families,Independent Legal Consultant,9,125,92,District Court,Provided incorrect information and poor advice. | Not very responsive. I had to chase for updates. | Unprofessional conduct and lack of expertise.,357401,NB/AP/2015/11193
